Lutz Heuser,SAP Corporate Research Walldorf,The Relevance of Management of Business Processes and Orchestration,2009,no Author no Title,no Date,0,0,0,1
Hagen Buchwald,Institute AIFB Karlsruhe Institute of Technology (KIT),The Power of ‘As-Is’ Processes,2009,"Buchwald, H. Potential Building Blocks of S-BPM",2010,1,0,0,0
Hagen Buchwald,Institute AIFB Karlsruhe Institute of Technology (KIT),The Power of ‘As-Is’ Processes,2009,"Goldratt, E.M., Cox, J. The Goal",1984,0,0,0,0
Hagen Buchwald,Institute AIFB Karlsruhe Institute of Technology (KIT),The Power of ‘As-Is’ Processes,2009,"Kübler-Ross, E. On Death and Dying",1993,0,0,0,0
Christian Fichtenbauer,EDV- & Prozessorganisation GmbH St. Christophen,The Method behind Subject Orientation – The Missing Link between Individuals and Machines in Regard to Truth,2009,"Ballwieser, W. Unternehmensbewertung – Prozess, Methoden und Probleme",2007,0,0,1,0
Christian Fichtenbauer,EDV- & Prozessorganisation GmbH St. Christophen,The Method behind Subject Orientation – The Missing Link between Individuals and Machines in Regard to Truth,2009,"Einstein, A. (1922) Grundzüge der Relativitätstheorie",2009,0,0,1,0
Christian Fichtenbauer,EDV- & Prozessorganisation GmbH St. Christophen,The Method behind Subject Orientation – The Missing Link between Individuals and Machines in Regard to Truth,2009,"Feuillet, R.-A. (1700) Chorégraphie, ou l’art de décrire la danse par caractères, figures et signes démonstratifs",2009,0,0,1,0
Christian Fichtenbauer,EDV- & Prozessorganisation GmbH St. Christophen,The Method behind Subject Orientation – The Missing Link between Individuals and Machines in Regard to Truth,2009,"Fischer, H., Fleischmann, A., Obermeier, S. Geschäftsprozesse realisieren – Ein praxis-orientierter Leitfaden von der Strategie bis zur Implementierung, Wiesbaden ",2006,1,1,1,0
Christian Fichtenbauer,EDV- & Prozessorganisation GmbH St. Christophen,The Method behind Subject Orientation – The Missing Link between Individuals and Machines in Regard to Truth,2009,"Hörmann, F., Haeseler, H. Die Finanzkrise als Chance",2009,0,0,1,0
Christian Fichtenbauer,EDV- & Prozessorganisation GmbH St. Christophen,The Method behind Subject Orientation – The Missing Link between Individuals and Machines in Regard to Truth,2009,"Scheer, A.-W. ARIS – Vom Geschäftsprozess zum Anwendungssystem",1998,0,0,1,0
Christian Fichtenbauer,EDV- & Prozessorganisation GmbH St. Christophen,The Method behind Subject Orientation – The Missing Link between Individuals and Machines in Regard to Truth,2009,"Schmelzer, H.J., Sesselmann, W. Geschäftsprozessmanagement in der Praxis",2004,0,0,1,0
Christian Fichtenbauer,EDV- & Prozessorganisation GmbH St. Christophen,The Method behind Subject Orientation – The Missing Link between Individuals and Machines in Regard to Truth,2009,"Von Glasersfeld, E. Radical Constructivism – A Way of Knowing and Learning, London ",1995,0,0,1,0
Werner Schmidt,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Back, A., Gronau, N., Tochtermann, K. Web 2",2008,0,0,1,0
Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Back, A., Gronau, N., Tochtermann, K. Web 2",2008,0,0,1,0
Werner Schmidt,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Buchwald, H. Potential Building Blocks of S-BPM",2010,1,0,1,0
Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Buchwald, H. Potential Building Blocks of S-BPM",2010,1,0,1,0
Werner Schmidt,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Euler, D. Forschendes Lernen",2005,0,0,1,0
Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Euler, D. Forschendes Lernen",2005,0,0,1,0
Werner Schmidt,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Farmer, R.A., Hughes, B. A Situated Learning Perspective on Learning Object Design",2005,0,0,1,0
Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Farmer, R.A., Hughes, B. A Situated Learning Perspective on Learning Object Design",2005,0,0,1,0
Werner Schmidt,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Fleischmann, A. What is S-BPM? In: Buchwald, H",2010,1,1,1,0
Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Fleischmann, A. What is S-BPM? In: Buchwald, H",2010,1,1,1,0
Werner Schmidt,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Friesen, N. Three Objections to Learning Objects and E-Learning Standards",2004,0,0,1,0
