Lutz Heuser,SAP Corporate Research Walldorf,2009,The Relevance of Management of Business Processes and Orchestration,no Author no Title,no Date,0,0,1
Hagen Buchwald,Institute AIFB Karlsruhe Institute of Technology (KIT),2009,The Power of ‘As-Is’ Processes,"Buchwald, H. Potential Building Blocks of S-BPM",2010,0,0,0
Hagen Buchwald,Institute AIFB Karlsruhe Institute of Technology (KIT),2009,The Power of ‘As-Is’ Processes,"Goldratt, E.M., Cox, J. The Goal",1984,0,0,0
Hagen Buchwald,Institute AIFB Karlsruhe Institute of Technology (KIT),2009,The Power of ‘As-Is’ Processes,"Kübler-Ross, E. On Death and Dying",1993,0,0,0
Christian Fichtenbauer,EDV- & Prozessorganisation GmbH St. Christophen,2009,The Method behind Subject Orientation – The Missing Link between Individuals and Machines in Regard to Truth,"Ballwieser, W. Unternehmensbewertung – Prozess, Methoden und Probleme",2007,0,0,0
Christian Fichtenbauer,EDV- & Prozessorganisation GmbH St. Christophen,2009,The Method behind Subject Orientation – The Missing Link between Individuals and Machines in Regard to Truth,"Einstein, A. (1922) Grundzüge der Relativitätstheorie",2009,0,0,0
Christian Fichtenbauer,EDV- & Prozessorganisation GmbH St. Christophen,2009,The Method behind Subject Orientation – The Missing Link between Individuals and Machines in Regard to Truth,"Feuillet, R.-A. (1700) Chorégraphie, ou l’art de décrire la danse par caractères, figures et signes démonstratifs",2009,0,0,0
Christian Fichtenbauer,EDV- & Prozessorganisation GmbH St. Christophen,2009,The Method behind Subject Orientation – The Missing Link between Individuals and Machines in Regard to Truth,"Fischer, H., Fleischmann, A., Obermeier, S. Geschäftsprozesse realisieren – Ein praxis-orientierter Leitfaden von der Strategie bis zur Implementierung, Wiesbaden ",2006,0,0,0
Christian Fichtenbauer,EDV- & Prozessorganisation GmbH St. Christophen,2009,The Method behind Subject Orientation – The Missing Link between Individuals and Machines in Regard to Truth,"Hörmann, F., Haeseler, H. Die Finanzkrise als Chance",2009,0,0,0
Christian Fichtenbauer,EDV- & Prozessorganisation GmbH St. Christophen,2009,The Method behind Subject Orientation – The Missing Link between Individuals and Machines in Regard to Truth,"Scheer, A.-W. ARIS – Vom Geschäftsprozess zum Anwendungssystem",1998,0,0,0
Christian Fichtenbauer,EDV- & Prozessorganisation GmbH St. Christophen,2009,The Method behind Subject Orientation – The Missing Link between Individuals and Machines in Regard to Truth,"Schmelzer, H.J., Sesselmann, W. Geschäftsprozessmanagement in der Praxis",2004,0,0,0
Christian Fichtenbauer,EDV- & Prozessorganisation GmbH St. Christophen,2009,The Method behind Subject Orientation – The Missing Link between Individuals and Machines in Regard to Truth,"Von Glasersfeld, E. Radical Constructivism – A Way of Knowing and Learning, London ",1995,0,0,0
Werner Schmidt and Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt,2009,Establishing an Informed S-BPM Community,"Back, A., Gronau, N., Tochtermann, K. Web 2",2008,0,0,0
Werner Schmidt and Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt,2009,Establishing an Informed S-BPM Community,"Buchwald, H. Potential Building Blocks of S-BPM",2010,0,0,0
Werner Schmidt and Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt,2009,Establishing an Informed S-BPM Community,"Euler, D. Forschendes Lernen",2005,0,0,0
Werner Schmidt and Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt,2009,Establishing an Informed S-BPM Community,"Farmer, R.A., Hughes, B. A Situated Learning Perspective on Learning Object Design",2005,0,0,0
Werner Schmidt and Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt,2009,Establishing an Informed S-BPM Community,"Fleischmann, A. What is S-BPM? In: Buchwald, H",2010,0,0,0
Werner Schmidt and Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt,2009,Establishing an Informed S-BPM Community,"Friesen, N. Three Objections to Learning Objects and E-Learning Standards",2004,0,0,0
Werner Schmidt and Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt,2009,Establishing an Informed S-BPM Community,"Fürlinger, S., Auinger, A., Stary, C. Interactive Annotations in Web-based Learning Environments",2004,0,0,0
Werner Schmidt and Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt,2009,Establishing an Informed S-BPM Community,"Hevner, A.R., March, S.T., Park, J., Ram, S. Design Science in Information Systems Research",2004,0,0,0
Werner Schmidt and Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt,2009,Establishing an Informed S-BPM Community,"Kienle, A., Herrmann, T. Integration von Kommunikation und Kooperation an Hand von Lernmaterial – ein Leitbild für die Funktionalität kollaborativer Lernumgebungen",2002,0,0,0
Werner Schmidt and Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt,2009,Establishing an Informed S-BPM Community,"Koch, M., Richter, A. Enterprise 2",2007,0,0,0
Werner Schmidt and Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt,2009,Establishing an Informed S-BPM Community,"Schmidt, W., Fleischmann, A., Gilbert, O. Subjektorientiertes Geschäftsprozess-management, HMD – Praxis der Wirtschaftsinformatik",2009,0,0,0
Werner Schmidt and Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt,2009,Establishing an Informed S-BPM Community,"Stary, C. Intelligibility Catchers for Self-Managed Knowledge Transfer",2007,0,0,0
Werner Schmidt and Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt,2009,Establishing an Informed S-BPM Community,"Wenger, E., McDermott, R., Snyder, W. Cultivating Communities of Practice – a Guide to Managing Knowledge",2002,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Carr, N.G. Does IT matter? Information technology and the corrosion of competitive advantage",2004,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Hammer, M., Champy, J. Reengineering The Corporation - A Manifesto for Business Revolution Harper Business ",1993,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Hammer, M. The agenda: What every business must do to dominate the decade",2001,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Kosiol, E. Organisation der Unternehmung",1962,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Smith, H., Fingar, P. IT Doesn’t Matter – Business Processes Do",2003,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Taylor, F.W. The Principles of Scientific Management Harper &amp; Bros",1911,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Smith, A. Wealth of Nations Prometheus Books, New York ",1991,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Davenport, T.H. Process Innovation – Reengineering Work through Information Technology",1993,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Porter, M.E. Competitive advantage: Creating and sustaining superior performance",1985,0,0,0
Robert Singer and Erwin Zinser,FH JOANNEUM University of Applied Sciences,2009,Business Process Management — S-BPM a New Paradigm for Competitive Advantage?,"Weske, M. Business Process Management",2007,0,0,0
