Autor,Ort,Publikationstitel,Konferenzjahr,Referenzautor + Referenztitel,Referenzjahr,communityflag,memberreference,memberauthor,invalidflag
Hagen Buchwald,Institute AIFB Karlsruhe Institute of Technology (KIT),The Power of ‘As-Is’ Processes,2009,"Buchwald, H. Potential Building Blocks of S-BPM",2010,1,0,0,0
Christian Fichtenbauer,EDV- & Prozessorganisation GmbH St. Christophen,The Method behind Subject Orientation – The Missing Link between Individuals and Machines in Regard to Truth,2009,"Fischer, H., Fleischmann, A., Obermeier, S. Geschäftsprozesse realisieren – Ein praxis-orientierter Leitfaden von der Strategie bis zur Implementierung, Wiesbaden ",2006,1,1,1,0
Werner Schmidt,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Buchwald, H. Potential Building Blocks of S-BPM",2010,1,0,1,0
Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Buchwald, H. Potential Building Blocks of S-BPM",2010,1,0,1,0
Werner Schmidt,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Fleischmann, A. What is S-BPM? In: Buchwald, H",2010,1,1,1,0
Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Fleischmann, A. What is S-BPM? In: Buchwald, H",2010,1,1,1,0
Werner Schmidt,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Fürlinger, S., Auinger, A., Stary, C. Interactive Annotations in Web-based Learning Environments",2004,1,1,1,0
Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Fürlinger, S., Auinger, A., Stary, C. Interactive Annotations in Web-based Learning Environments",2004,1,1,1,0
Werner Schmidt,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Schmidt, W., Fleischmann, A., Gilbert, O. Subjektorientiertes Geschäftsprozess-management, HMD – Praxis der Wirtschaftsinformatik",2009,1,1,1,0
Christian Stary,Business Information Systems University of Applied Sciences Ingolstadt and Business Informatics Johannes Kepler University,Establishing an Informed S-BPM Community,2009,"Schmidt, W., Fleischmann, A., Gilbert, O. Subjektorientiertes Geschäftsprozess-management, HMD – Praxis der Wirtschaftsinformatik",2009,1,1,1,0
